epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,53.2674,1.76925,1.95319,1.75637,0.6947,0.48709,0.57663,0.21494,2.0006,2.18872,1.93599,0.00131631,0.00131631,0.00131631
63,53.9943,1.7281,1.88023,1.75455,0.63215,0.54331,0.54284,0.19252,2.00738,2.22888,1.97774,0.00130565,0.00130565,0.00130565
64,54.5394,1.74317,1.884,1.74069,0.63215,0.54331,0.54284,0.19252,2.00738,2.22888,1.97774,0.00129487,0.00129487,0.00129487
65,55.107,1.75889,1.9098,1.79903,0.60504,0.50561,0.56761,0.21291,1.9677,2.16598,1.95712,0.00128398,0.00128398,0.00128398
66,55.6998,1.68491,1.89241,1.75268,0.60504,0.50561,0.56761,0.21291,1.9677,2.16598,1.95712,0.00127298,0.00127298,0.00127298
67,56.2618,1.76879,1.83337,1.76946,0.53594,0.44694,0.49028,0.20152,1.93657,2.22109,1.96982,0.00126188,0.00126188,0.00126188
68,56.834,1.77157,1.86164,1.81079,0.55478,0.47096,0.51064,0.21589,1.94453,2.17836,1.96902,0.00125067,0.00125067,0.00125067
69,57.3867,1.78547,1.97862,1.83199,0.55478,0.47096,0.51064,0.21589,1.94453,2.17836,1.96902,0.00123936,0.00123936,0.00123936
70,57.9758,1.72606,1.91048,1.77886,0.64986,0.50066,0.53284,0.18869,1.95349,2.14634,1.95775,0.00122795,0.00122795,0.00122795
71,58.5376,1.69328,1.84619,1.76756,0.57186,0.50682,0.5444,0.19126,2.01467,2.13354,1.99911,0.00121645,0.00121645,0.00121645
72,59.0914,1.69787,1.8365,1.70077,0.57186,0.50682,0.5444,0.19126,2.01467,2.13354,1.99911,0.00120486,0.00120486,0.00120486
73,59.8785,1.74277,1.83977,1.79008,0.59301,0.49255,0.53538,0.18654,2.11517,2.23823,2.10851,0.00119317,0.00119317,0.00119317
74,60.4194,1.72945,1.76472,1.74294,0.59301,0.49255,0.53538,0.18654,2.11517,2.23823,2.10851,0.0011814,0.0011814,0.0011814
75,60.9856,1.78957,1.88385,1.83519,0.54158,0.50803,0.54946,0.2198,1.96737,2.17921,2.01795,0.00116955,0.00116955,0.00116955
76,61.5624,1.68622,1.78737,1.72027,0.61765,0.48243,0.56985,0.25661,1.87193,2.08427,1.91945,0.00115761,0.00115761,0.00115761
77,62.1197,1.66871,1.82452,1.71436,0.61765,0.48243,0.56985,0.25661,1.87193,2.08427,1.91945,0.0011456,0.0011456,0.0011456
78,62.6911,1.66926,1.86035,1.73663,0.71313,0.46722,0.59702,0.24185,1.87692,2.0941,1.92047,0.00113351,0.00113351,0.00113351
79,63.2535,1.68727,1.81195,1.72658,0.7047,0.52893,0.61339,0.26026,1.8527,1.99307,1.89162,0.00112135,0.00112135,0.00112135
80,63.8103,1.6588,1.81596,1.68812,0.7047,0.52893,0.61339,0.26026,1.8527,1.99307,1.89162,0.00110912,0.00110912,0.00110912
81,64.3907,1.66138,1.75404,1.68864,0.64083,0.55743,0.57101,0.26159,1.81793,1.98564,1.86101,0.00109683,0.00109683,0.00109683
82,64.9512,1.61206,1.68448,1.6639,0.64083,0.55743,0.57101,0.26159,1.81793,1.98564,1.86101,0.00108447,0.00108447,0.00108447
83,65.6857,1.63771,1.70625,1.66833,0.66484,0.50465,0.58319,0.26063,1.87363,1.96054,1.89705,0.00107205,0.00107205,0.00107205
84,66.264,1.63671,1.80052,1.76077,0.66945,0.59208,0.6148,0.25752,1.8862,1.92668,1.90824,0.00105957,0.00105957,0.00105957
85,66.8091,1.62936,1.6959,1.71717,0.66945,0.59208,0.6148,0.25752,1.8862,1.92668,1.90824,0.00104705,0.00104705,0.00104705
86,67.37,1.71687,1.70471,1.71285,0.70884,0.58412,0.63457,0.28424,1.77654,1.89231,1.85281,0.00103447,0.00103447,0.00103447
87,67.9419,1.619,1.69979,1.70339,0.7155,0.5846,0.62714,0.31055,1.69971,1.8382,1.82555,0.00102184,0.00102184,0.00102184
